T,C
23-May-2024 11:00:00,454.59424
23-May-2024 11:00:01,451.43753
23-May-2024 11:00:02,451.3616
23-May-2024 11:00:03,452.19916
23-May-2024 11:00:04,449.34192
23-May-2024 11:00:05,450.44867
23-May-2024 11:00:06,449.05576
23-May-2024 11:00:07,443.09769
23-May-2024 11:00:08,447.78214
23-May-2024 11:00:09,446.54297
23-May-2024 11:00:10,448.84412
23-May-2024 11:00:11,444.43042
23-May-2024 11:00:12,446.05389
23-May-2024 11:00:13,450.06885
23-May-2024 11:00:14,449.95544
23-May-2024 11:00:15,446.18182
23-May-2024 11:00:16,447.2236
23-May-2024 11:00:17,445.99765
23-May-2024 11:00:18,446.09586
23-May-2024 11:00:19,447.70816
23-May-2024 11:00:20,446.7764
23-May-2024 11:00:21,444.37335
23-May-2024 11:00:22,447.47769
23-May-2024 11:00:23,449.19949
23-May-2024 11:00:24,446.47122
23-May-2024 11:00:25,446.35123
23-May-2024 11:00:26,447.46466
23-May-2024 11:00:27,445.17639
23-May-2024 11:00:28,448.90726
23-May-2024 11:00:29,447.87463
23-May-2024 11:00:30,443.24902
23-May-2024 11:00:31,447.57095
23-May-2024 11:00:32,445.73071
23-May-2024 11:00:33,449.3223
23-May-2024 11:00:34,449.14737
23-May-2024 11:00:35,452.96002
23-May-2024 11:00:36,454.45047
23-May-2024 11:00:37,458.35629
23-May-2024 11:00:38,457.40329
23-May-2024 11:00:39,456.93381
23-May-2024 11:00:40,461.27057
23-May-2024 11:00:41,461.06216
23-May-2024 11:00:42,460.57523
23-May-2024 11:00:43,455.96866
23-May-2024 11:00:44,453.74744
23-May-2024 11:00:45,455.81546
23-May-2024 11:00:46,456.23407
23-May-2024 11:00:47,459.56641
23-May-2024 11:00:48,456.27341
23-May-2024 11:00:49,459.72812
23-May-2024 11:00:50,459.90927
23-May-2024 11:00:51,456.18365
23-May-2024 11:00:52,462.10202
23-May-2024 11:00:53,459.13675
23-May-2024 11:00:54,455.42365
23-May-2024 11:00:55,455.29648
23-May-2024 11:00:56,455.43127
23-May-2024 11:00:57,456.47525
23-May-2024 11:00:58,459.12976
23-May-2024 11:00:59,456.2558
23-May-2024 11:01:00,453.02048
23-May-2024 11:01:01,454.07755
23-May-2024 11:01:02,454.06424
23-May-2024 11:01:03,451.61362
23-May-2024 11:01:04,452.0098
23-May-2024 11:01:05,449.80307
23-May-2024 11:01:06,451.29184
23-May-2024 11:01:07,447.23364
23-May-2024 11:01:08,451.21945
23-May-2024 11:01:09,449.43893
23-May-2024 11:01:10,449.30161
23-May-2024 11:01:11,453.38763
23-May-2024 11:01:12,450.55902
23-May-2024 11:01:13,450.77167
23-May-2024 11:01:14,449.60422
23-May-2024 11:01:15,444.41675
23-May-2024 11:01:16,446.1907
23-May-2024 11:01:17,447.58051
23-May-2024 11:01:18,441.75409
23-May-2024 11:01:19,444.46039
23-May-2024 11:01:20,444.59488
23-May-2024 11:01:21,446.04199
23-May-2024 11:01:22,445.59186
23-May-2024 11:01:23,445.50183
23-May-2024 11:01:24,447.41306
23-May-2024 11:01:25,446.90787
23-May-2024 11:01:26,442.08649
23-May-2024 11:01:27,444.52322
23-May-2024 11:01:28,444.13
23-May-2024 11:01:29,447.42053
23-May-2024 11:01:30,445.45053
23-May-2024 11:01:31,447.29987
23-May-2024 11:01:32,443.09735
23-May-2024 11:01:33,444.17548
23-May-2024 11:01:34,444.67923
23-May-2024 11:01:35,448.60263
23-May-2024 11:01:36,449.42722
23-May-2024 11:01:37,453.86444
23-May-2024 11:01:38,453.07693
23-May-2024 11:01:39,456.03821
23-May-2024 11:01:40,455.55225
23-May-2024 11:01:41,449.51544
23-May-2024 11:01:42,453.42905
23-May-2024 11:01:43,448.9227
23-May-2024 11:01:44,451.15411
23-May-2024 11:01:45,447.17612
23-May-2024 11:01:46,449.97336
23-May-2024 11:01:47,453.51956
23-May-2024 11:01:48,449.73102
23-May-2024 11:01:49,447.03421
23-May-2024 11:01:50,447.22516
23-May-2024 11:01:51,442.85913
23-May-2024 11:01:52,450.73102
23-May-2024 11:01:53,449.6875
23-May-2024 11:01:54,450.40906
23-May-2024 11:01:55,452.66702
23-May-2024 11:01:56,454.44788
23-May-2024 11:01:57,453.19049
23-May-2024 11:01:58,454.80319
23-May-2024 11:01:59,454.63345
23-May-2024 11:02:00,452.37848
23-May-2024 11:02:01,452.07947
23-May-2024 11:02:02,447.03571
23-May-2024 11:02:03,449.79779
23-May-2024 11:02:04,442.76505
23-May-2024 11:02:05,448.99316
23-May-2024 11:02:06,454.8154
23-May-2024 11:02:07,450.28577
23-May-2024 11:02:08,448.54568
23-May-2024 11:02:09,447.41211
23-May-2024 11:02:10,448.68579
23-May-2024 11:02:11,450.01926
23-May-2024 11:02:12,447.52795
23-May-2024 11:02:13,447.12283
23-May-2024 11:02:14,444.19638
23-May-2024 11:02:15,447.85992
23-May-2024 11:02:16,448.98706
23-May-2024 11:02:17,448.79175
23-May-2024 11:02:18,447.35928
23-May-2024 11:02:19,447.73602
23-May-2024 11:02:20,448.02399
23-May-2024 11:02:21,448.97742
23-May-2024 11:02:22,451.03043
23-May-2024 11:02:23,453.42926
23-May-2024 11:02:24,458.0907
23-May-2024 11:02:25,458.78366
23-May-2024 11:02:26,455.97577
23-May-2024 11:02:27,453.0657
23-May-2024 11:02:28,456.27353
23-May-2024 11:02:29,455.20074
23-May-2024 11:02:30,460.1752
23-May-2024 11:02:31,456.93289
23-May-2024 11:02:32,462.241
23-May-2024 11:02:33,465.47397
23-May-2024 11:02:34,463.20172
23-May-2024 11:02:35,462.12686
23-May-2024 11:02:36,466.9982
23-May-2024 11:02:37,468.22906
23-May-2024 11:02:38,471.44385
23-May-2024 11:02:39,468.11972
23-May-2024 11:02:40,474.6684
23-May-2024 11:02:41,477.2182
23-May-2024 11:02:42,475.86832
23-May-2024 11:02:43,480.14847
23-May-2024 11:02:44,481.30847
23-May-2024 11:02:45,480.8858
23-May-2024 11:02:46,479.28458
23-May-2024 11:02:47,484.67029
23-May-2024 11:02:48,483.78619
23-May-2024 11:02:49,480.15329
23-May-2024 11:02:50,475.58823
23-May-2024 11:02:51,473.80087
23-May-2024 11:02:52,473.49182
23-May-2024 11:02:53,476.18604
23-May-2024 11:02:54,480.17307
23-May-2024 11:02:55,474.18338
23-May-2024 11:02:56,471.49637
23-May-2024 11:02:57,471.35492
23-May-2024 11:02:58,465.77753
23-May-2024 11:02:59,455.02597
23-May-2024 11:03:00,463.90857
23-May-2024 11:03:01,467.40732
23-May-2024 11:03:02,464.01425
23-May-2024 11:03:03,467.77365
23-May-2024 11:03:04,465.04382
23-May-2024 11:03:05,469.9473
23-May-2024 11:03:06,472.35938
23-May-2024 11:03:07,467.8688
23-May-2024 11:03:08,466.05624
23-May-2024 11:03:09,465.42831
23-May-2024 11:03:10,465.85526
23-May-2024 11:03:11,463.92014
23-May-2024 11:03:12,456.25317
23-May-2024 11:03:13,456.49292
23-May-2024 11:03:14,462.90573
23-May-2024 11:03:15,462.0679
23-May-2024 11:03:16,463.94363
23-May-2024 11:03:17,461.35367
23-May-2024 11:03:18,463.12366
23-May-2024 11:03:19,460.96802
23-May-2024 11:03:20,457.65195
23-May-2024 11:03:21,459.95151
23-May-2024 11:03:22,450.76395
23-May-2024 11:03:23,421.29794
23-May-2024 11:03:24,419.77435
23-May-2024 11:03:25,420.34406
23-May-2024 11:03:26,423.0325
23-May-2024 11:03:27,415.8681
23-May-2024 11:03:28,411.89151
