DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync                  
2024-05-10                18:23:20.000              130.43287037              3130.388889               131.43287037              1715365400.000            0                         963                       1.4000253296E+02          4.4999961853E+01          3.4312500000E+01          4.5118125916E+01          4.5001029968E+01          0.0000000000E+00          3.4261644531E+04          1.4124613451E-01          4.2750474911E+02          4.3276956091E+02          2.0186112896E+00          2.0386962995E+00          7.8521053629E-01          
2024-05-10                18:23:25.000              130.43292824              3130.390278               131.43292824              1715365405.000            0                         963                       1.3999778182E+02          4.4999673963E+01          3.4312500000E+01          4.5118050155E+01          4.5001090577E+01          0.0000000000E+00          3.4260322115E+04          1.4421939644E-01          4.2763860150E+02          4.3291960850E+02          2.0186681044E+00          2.0389216322E+00          7.8843598377E-01          
2024-05-10                18:23:30.000              130.43298611              3130.391667               131.43298611              1715365410.000            0                         963                       1.4000157518E+02          4.4998839745E+01          3.4312500000E+01          4.5118055490E+01          4.5001037011E+01          0.0000000000E+00          3.4261210637E+04          1.3652712510E-01          4.2763279419E+02          4.3291750326E+02          2.0183246777E+00          2.0390371951E+00          7.8729656070E-01          
2024-05-10                18:23:35.000              130.43304398              3130.393056               131.43304398              1715365415.000            0                         963                       1.3999913302E+02          4.4998466492E+01          3.4312500000E+01          4.5118125916E+01          4.5000946739E+01          0.0000000000E+00          3.4260561080E+04          1.4069303648E-01          4.2761458700E+02          4.3289735849E+02          2.0185473573E+00          2.0390640563E+00          7.8635274841E-01          
2024-05-10                18:23:40.000              130.43310185              3130.394444               131.43310185              1715365420.000            0                         963                       1.3999880608E+02          4.4999685914E+01          3.4312500000E+01          4.5118087929E+01          4.5000953994E+01          0.0000000000E+00          3.4260240876E+04          1.3803538061E-01          4.2756085203E+02          4.3283321497E+02          2.0184480771E+00          2.0387741710E+00          7.8715921720E-01          
2024-05-10                18:23:45.000              130.43315972              3130.395833               131.43315972              1715365425.000            0                         963                       1.4000242124E+02          4.4999870300E+01          3.4312500000E+01          4.5118064880E+01          4.5000907898E+01          0.0000000000E+00          3.4261226836E+04          1.3641710556E-01          4.2742696770E+02          4.3268495028E+02          2.0180091745E+00          2.0382499370E+00          7.8443056442E-01          
2024-05-10                18:23:50.000              130.43321759              3130.397222               131.43321759              1715365430.000            0                         963                       1.4000026772E+02          4.5000095021E+01          3.4312500000E+01          4.5118009394E+01          4.5000938416E+01          0.0000000000E+00          3.4261542614E+04          1.3445892080E-01          4.2728519853E+02          4.3252231799E+02          2.0179233618E+00          2.0383243259E+00          7.8119784665E-01          
2024-05-10                18:23:55.000              130.43327546              3130.398611               131.43327546              1715365435.000            0                         963                       1.4000218201E+02          4.4999717712E+01          3.4312500000E+01          4.5117942810E+01          4.5000938416E+01          0.0000000000E+00          3.4262230469E+04          1.3522958492E-01          4.2729364917E+02          4.3253469157E+02          2.0183427429E+00          2.0386284356E+00          7.8186046899E-01          
2024-05-10                18:24:00.000              130.43333333              3130.400000               131.43333333              1715365440.000            0                         963                       1.4000073242E+02          4.4999412537E+01          3.4312500000E+01          4.5118034363E+01          4.5000724792E+01          0.0000000000E+00          3.4262035156E+04          1.3627786954E-01          4.2731479591E+02          4.3255534117E+02          2.0180848927E+00          2.0381395798E+00          7.8223310016E-01          
2024-05-10                18:24:05.000              130.43339120              3130.401389               131.43339120              1715365445.000            0                         963                       1.4000131748E+02          4.4999961853E+01          3.4312500000E+01          4.5118064880E+01          4.5000907898E+01          0.0000000000E+00          3.4262094870E+04          1.4175612590E-01          4.2734556387E+02          4.3259728761E+02          2.0180273844E+00          2.0385040628E+00          7.8410134026E-01          
2024-05-10                18:24:10.000              130.43344907              3130.402778               131.43344907              1715365450.000            0                         963                       1.3999748230E+02          4.4999320984E+01          3.4312500000E+01          4.5117820740E+01          4.5000846863E+01          0.0000000000E+00          3.4260292969E+04          1.3840436125E-01          4.2741122627E+02          4.3265728477E+02          2.0180210509E+00          2.0386568075E+00          7.8308172261E-01          
2024-05-10                18:24:15.000              130.43350694              3130.404167               131.43350694              1715365455.000            0                         963                       1.3999942017E+02          4.4998741150E+01          3.4312500000E+01          4.5117668152E+01          4.5000541687E+01          0.0000000000E+00          3.4260519531E+04          1.3383957181E-01          4.2739112913E+02          4.3263907426E+02          2.0183572525E+00          2.0387373481E+00          7.8348876425E-01          
2024-05-10                18:24:20.000              130.43356481              3130.405556               131.43356481              1715365460.000            0                         963                       1.3999855266E+02          4.4998344421E+01          3.4368881119E+01          4.5118034363E+01          4.5000846863E+01          0.0000000000E+00          3.4259285102E+04          1.3665041165E-01          4.2740119543E+02          4.3266227478E+02          2.0185559467E+00          2.0387603579E+00          7.8451952824E-01          
2024-05-10                18:24:25.000              130.43362269              3130.406944               131.43362269              1715365465.000            0                         963                       1.3999734497E+02          4.5001274109E+01          3.4375000000E+01          4.5117820740E+01          4.5000602722E+01          0.0000000000E+00          3.4258179688E+04          1.3632796890E-01          4.2747947097E+02          4.3274634780E+02          2.0184382912E+00          2.0388568497E+00          7.8464354902E-01          
2024-05-10                18:24:30.000              130.43368056              3130.408333               131.43368056              1715365470.000            0                         963                       1.3999878015E+02          4.4999595642E+01          3.4312500000E+01          4.5117637634E+01          4.5000541687E+01          0.0000000000E+00          3.4258301929E+04          1.3855878141E-01          4.2748738502E+02          4.3274770564E+02          2.0185081686E+00          2.0388157645E+00          7.8379600369E-01          
2024-05-10                18:24:35.000              130.43373843              3130.409722               131.43373843              1715365475.000            0                         963                       1.3999948120E+02          4.5000297546E+01          3.4312500000E+01          4.5117759705E+01          4.5000541687E+01          0.0000000000E+00          3.4258253906E+04          1.3538736962E-01          4.2749583766E+02          4.3274657106E+02          2.0185639321E+00          2.0388787052E+00          7.8419260793E-01          
2024-05-10                18:24:40.000              130.43379630              3130.411111               131.43379630              1715365480.000            0                         963                       1.4000294495E+02          4.4999778748E+01          3.4312500000E+01          4.5117454529E+01          4.5000297546E+01          0.0000000000E+00          3.4259625000E+04          1.3746844677E-01          4.2746726859E+02          4.3277168345E+02          2.0186194735E+00          2.0389405910E+00          7.8500008142E-01          
2024-05-10                18:24:45.000              130.43385417              3130.412500               131.43385417              1715365485.000            0                         963                       1.4000250517E+02          4.5001466324E+01          3.4312500000E+01          4.5117572955E+01          4.5000238333E+01          0.0000000000E+00          3.4260679921E+04          1.3980168236E-01          4.2738612653E+02          4.3265755546E+02          2.0185601520E+00          2.0388649566E+00          7.8245854110E-01          
2024-05-10                18:24:50.000              130.43391204              3130.413889               131.43391204              1715365490.000            0                         963                       1.3999872680E+02          4.5001882183E+01          3.4334421642E+01          4.5117533783E+01          4.5000257919E+01          0.0000000000E+00          3.4258970965E+04          1.3590684223E-01          4.2731964818E+02          4.3258145257E+02          2.0183546754E+00          2.0386652216E+00          7.8329015458E-01          
2024-05-10                18:24:55.000              130.43396991              3130.415278               131.43396991              1715365495.000            0                         963                       1.4000081122E+02          4.5001231749E+01          3.4312500000E+01          4.5117350678E+01          4.5000297546E+01          0.0000000000E+00          3.4259688783E+04          1.3362207873E-01          4.2731179465E+02          4.3255781377E+02          2.0183020339E+00          2.0387161011E+00          7.8196263466E-01          
2024-05-10                18:25:00.000              130.43402778              3130.416667               131.43402778              1715365500.000            0                         963                       1.3999984308E+02          4.4999668975E+01          3.4312500000E+01          4.5117332458E+01          4.5000355393E+01          0.0000000000E+00          3.4260769910E+04          1.3831396608E-01          4.2728613710E+02          4.3254116680E+02          2.0181547752E+00          2.0386747114E+00          7.8198467107E-01          
2024-05-10                18:25:05.000              130.43408565              3130.418056               131.43408565              1715365505.000            0                         963                       1.3999948120E+02          4.4999107361E+01          3.4375000000E+01          4.5117515564E+01          4.5000297546E+01          0.0000000000E+00          3.4260828125E+04          1.3941471031E-01          4.2724526452E+02          4.3248236980E+02          2.0178610925E+00          2.0383941067E+00          7.8171750613E-01          
2024-05-10                18:25:10.000              130.43414352              3130.419444               131.43414352              1715365510.000            0                         963                       1.3999851990E+02          4.4999229431E+01          3.4375000000E+01          4.5117424011E+01          4.5000419617E+01          0.0000000000E+00          3.4259734375E+04          1.4456001571E-01          4.2729465155E+02          4.3252781912E+02          2.0183880754E+00          2.0383566513E+00          7.8141852934E-01          
2024-05-10                18:25:15.000              130.43420139              3130.420833               131.43420139              1715365515.000            0                         963                       1.4000439453E+02          4.4999229431E+01          3.4312500000E+01          4.5117424011E+01          4.5000419617E+01          0.0000000000E+00          3.4263285156E+04          1.3357217017E-01          4.2730726040E+02          4.3253914409E+02          2.0180015404E+00          2.0387214259E+00          7.8104486334E-01          
2024-05-10                18:25:20.000              130.43425926              3130.422222               131.43425926              1715365520.000            0                         963                       1.3999884513E+02          4.4998192260E+01          3.4364510490E+01          4.5117342489E+01          4.5000485987E+01          0.0000000000E+00          3.4262673104E+04          1.3689538512E-01          4.2723366086E+02          4.3246477583E+02          2.0182927242E+00          2.0382434406E+00          7.8067108318E-01          
2024-05-10                18:25:25.000              130.43431713              3130.423611               131.43431713              1715365525.000            0                         963                       1.4000118122E+02          4.4998497009E+01          3.4312500000E+01          4.5117240906E+01          4.5000663757E+01          0.0000000000E+00          3.4262831867E+04          1.3414274130E-01          4.2724373012E+02          4.3247506628E+02          2.0182617707E+00          2.0386026599E+00          7.8050304936E-01          
2024-05-10                18:25:30.000              130.43437500              3130.425000               131.43437500              1715365530.000            0                         963                       1.4000046662E+02          4.4999168396E+01          3.4315559441E+01          4.5117454529E+01          4.5000450134E+01          0.0000000000E+00          3.4262208042E+04          1.3483041300E-01          4.2729346338E+02          4.3252156699E+02          2.0181127679E+00          2.0380846592E+00          7.7905651525E-01          
2024-05-10                18:25:35.000              130.43443287              3130.426389               131.43443287              1715365535.000            0                         963                       1.4000119637E+02          4.4999137878E+01          3.4375000000E+01          4.5117515564E+01          4.5000846863E+01          0.0000000000E+00          3.4262238336E+04          1.3513152199E-01          4.2724662958E+02          4.3248113334E+02          2.0182889568E+00          2.0382763882E+00          7.8174132448E-01          
2024-05-10                18:25:40.000              130.43449074              3130.427778               131.43449074              1715365540.000            0                         963                       1.4000300598E+02          4.5000419617E+01          3.4312500000E+01          4.5117454529E+01          4.5000450134E+01          0.0000000000E+00          3.4262718750E+04          1.3471076877E-01          4.2727243211E+02          4.3251376764E+02          2.0181854474E+00          2.0386691031E+00          7.8083421608E-01          
2024-05-10                18:25:45.000              130.43454861              3130.429167               131.43454861              1715365545.000            0                         963                       1.3999761792E+02          4.4999778748E+01          3.4312500000E+01          4.5117454529E+01          4.5000724792E+01          0.0000000000E+00          3.4261024093E+04          1.3940788825E-01          4.2727870796E+02          4.3251473029E+02          2.0181458845E+00          2.0385335460E+00          7.8131848267E-01          
2024-05-10                18:25:50.000              130.43460648              3130.430556               131.43460648              1715365550.000            0                         963                       1.4000190735E+02          4.4998649597E+01          3.4375000000E+01          4.5117240906E+01          4.5000602722E+01          0.0000000000E+00          3.4262250000E+04          1.3770407004E-01          4.2728937067E+02          4.3252193214E+02          2.0180203530E+00          2.0382814025E+00          7.8090527511E-01          
2024-05-10                18:25:55.000              130.43466435              3130.431944               131.43466435              1715365555.000            0                         963                       1.4000112275E+02          4.4999198914E+01          3.4375000000E+01          4.5117424011E+01          4.5000663757E+01          0.0000000000E+00          3.4261703726E+04          1.3948363970E-01          4.2725714366E+02          4.3248616959E+02          2.0181177301E+00          2.0382631814E+00          7.7993151631E-01          
2024-05-10                18:26:00.000              130.43472222              3130.433333               131.43472222              1715365560.000            0                         963                       1.4000135803E+02          4.4999412537E+01          3.4375000000E+01          4.5117424011E+01          4.5000602722E+01          0.0000000000E+00          3.4262710938E+04          1.4335972450E-01          4.2724955993E+02          4.3247531828E+02          2.0178877112E+00          2.0380979239E+00          7.8035262457E-01          
2024-05-10                18:26:05.000              130.43478009              3130.434722               131.43478009              1715365565.000            0                         963                       1.4000163269E+02          4.4999687195E+01          3.4375000000E+01          4.5117546082E+01          4.5000724792E+01          0.0000000000E+00          3.4263429688E+04          1.4164077204E-01          4.2727224540E+02          4.3249141302E+02          2.0181287956E+00          2.0382744875E+00          7.7767845538E-01          
2024-05-10                18:26:10.000              130.43483796              3130.436111               131.43483796              1715365570.000            0                         963                       1.4000183105E+02          4.4999351501E+01          3.4312500000E+01          4.5117424011E+01          4.5000541687E+01          0.0000000000E+00          3.4265128906E+04          1.2872554632E-01          4.2722767726E+02          4.3242671470E+02          2.0178969332E+00          2.0380946840E+00          7.8044816748E-01          
2024-05-10                18:26:15.000              130.43489583              3130.437500               131.43489583              1715365575.000            0                         963                       1.4000229675E+02          4.4999538269E+01          3.4375000000E+01          4.5117467957E+01          4.5000585632E+01          0.0000000000E+00          3.4264974062E+04          1.4010273451E-01          4.2716099889E+02          4.3249522301E+02          2.0181793683E+00          2.0383820351E+00          7.7993074881E-01          
2024-05-10                18:26:20.000              130.43495370              3130.438889               131.43495370              1715365580.000            0                         963                       1.4000051880E+02          4.4999412537E+01          3.4312500000E+01          4.5117240906E+01          4.5000541687E+01          0.0000000000E+00          3.4265207031E+04          1.3609083423E-01          4.2726246947E+02          4.3245130033E+02          2.0180461515E+00          2.0382421654E+00          7.7963870163E-01          
