Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-04-04 08:03:04
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1712239384	659727096	0	256	""	2024-04-04	08:03:04	nan	nan	nan	77.6095	19.9923	77.5799	24.3409	0	0	19.873	0	0	24.2292	 49
DATA	1712239385	59708118	0	256	""	2024-04-04	08:03:05	nan	nan	nan	77.6095	19.9923	77.5799	24.3409	0	0	19.873	0	0	24.2292	247
DATA	1712239385	909684896	17	256	""	2024-04-04	08:03:05	nan	nan	nan	77.7097	19.9923	77.683	24.3424	0	0	19.873	-8000	0	24.2182	249
DATA	1712239386	909646034	21	256	""	2024-04-04	08:03:06	nan	nan	nan	78.0604	19.9923	78.0637	27.7868	0	0	19.873	-16000	0	24.1974	 82
DATA	1712239387	909615039	25	256	""	2024-04-04	08:03:07	nan	nan	nan	78.3801	19.9923	78.3756	37.1962	0	0	19.873	-16000	0	24.2009	 76
DATA	1712239388	909570932	29	256	""	2024-04-04	08:03:08	nan	nan	nan	78.6273	19.9923	78.6179	44.1789	0	0	19.873	-16000	0	24.2021	 91
DATA	1712239389	909565925	33	256	""	2024-04-04	08:03:09	nan	nan	nan	78.8182	19.9923	78.8071	49.5118	0	0	19.8734	-16000	0	24.2053	140
DATA	1712239390	909565925	37	256	""	2024-04-04	08:03:10	nan	nan	nan	78.9638	19.9923	78.9449	50.6127	0	0	19.8737	-16000	0	24.208	 93
DATA	1712239391	909565925	41	256	""	2024-04-04	08:03:11	nan	nan	nan	79.005	19.9923	78.9774	50.7361	0	0	19.8737	-16000	0	24.2084	 76
DATA	1712239392	909565925	45	256	""	2024-04-04	08:03:12	nan	nan	nan	79.0074	19.9923	78.9799	50.7828	0	0	19.8737	-16000	0	24.2088	155
DATA	1712239393	909565925	49	256	""	2024-04-04	08:03:13	nan	nan	nan	79.0083	19.9923	78.9799	50.8147	0	0	19.8743	-16000	0	24.2088	153
DATA	1712239394	909565925	53	256	""	2024-04-04	08:03:14	nan	nan	nan	79.0087	19.9923	78.9803	50.8368	0	0	19.8745	-16000	0	24.2088	147
DATA	1712239395	909565925	57	256	""	2024-04-04	08:03:15	nan	nan	nan	79.0095	19.9923	78.9807	50.8526	0	0	19.8745	-16000	0	24.2088	152
DATA	1712239396	909262895	61	256	""	2024-04-04	08:03:16	nan	nan	nan	79.0091	19.9923	78.9811	50.8637	0	0	19.8745	-16000	0	24.2088	143
DATA	1712239397	909262895	65	256	""	2024-04-04	08:03:17	nan	nan	nan	79.0095	19.9923	78.9811	50.8716	0	0	19.8752	-16000	0	24.2088	149
DATA	1712239398	909262895	69	256	""	2024-04-04	08:03:18	nan	nan	nan	79.0095	19.9923	78.9819	50.8769	0	0	19.8752	-16000	0	24.2088	171
DATA	1712239399	909262895	73	256	""	2024-04-04	08:03:19	nan	nan	nan	79.0091	19.9925	78.9815	50.8773	0	0	19.8752	-16000	0	24.0452	150
DATA	1712239400	909262895	77	256	""	2024-04-04	08:03:20	nan	nan	nan	79.0099	19.9947	78.9819	50.8766	0	0	19.8765	-16000	0	23.8855	165
DATA	1712239401	909262895	81	256	""	2024-04-04	08:03:21	nan	nan	nan	79.0095	20.0014	78.9807	50.8764	0	0	19.8817	-16000	0	23.8851	115
DATA	1712239402	909262895	85	256	""	2024-04-04	08:03:22	nan	nan	nan	79.0103	20.0126	78.9819	50.8758	0	0	19.8951	-16000	0	23.8851	120
DATA	1712239403	909262895	89	256	""	2024-04-04	08:03:23	nan	nan	nan	79.0107	20.0263	78.9828	50.8758	0	0	19.9121	-16000	0	23.8851	122
DATA	1712239404	908966064	93	256	""	2024-04-04	08:03:24	nan	nan	nan	79.0107	20.0429	78.9819	50.8758	0	0	19.9309	-16000	0	23.8855	133
DATA	1712239405	908966064	97	256	""	2024-04-04	08:03:25	nan	nan	nan	79.0115	20.0611	78.984	50.8758	0	0	19.951	-16000	0	23.8855	 23
DATA	1712239406	908966064	101	256	""	2024-04-04	08:03:26	nan	nan	nan	79.0136	20.0817	78.9856	50.8758	0	0	19.9714	-16000	0	23.8796	183
DATA	1712239407	908966064	105	256	""	2024-04-04	08:03:27	nan	nan	nan	79.0136	20.1019	78.9848	50.8758	0	0	19.9911	-16000	0	23.8808	178
DATA	1712239408	908966064	109	256	""	2024-04-04	08:03:28	nan	nan	nan	79.0136	20.1232	78.9852	50.8756	0	0	20.0106	-16000	0	23.8808	153
DATA	1712239409	908966064	113	256	""	2024-04-04	08:03:29	nan	nan	nan	79.0132	20.1462	78.984	50.8758	0	0	20.0315	-16000	0	23.882	 50
DATA	1712239410	908966064	117	256	""	2024-04-04	08:03:30	nan	nan	nan	79.012	20.1697	78.984	50.8756	0	0	20.0526	-16000	0	23.882	255
DATA	1712239411	908668994	121	256	""	2024-04-04	08:03:31	nan	nan	nan	79.0124	20.194	78.984	50.8758	0	0	20.073	-16000	0	23.882	209
DATA	1712239412	908668994	125	256	""	2024-04-04	08:03:32	nan	nan	nan	79.0132	20.219	78.9844	50.8756	0	0	20.0939	-16000	0	23.8808	119
DATA	1712239413	908668994	129	256	""	2024-04-04	08:03:33	nan	nan	nan	79.0136	20.2437	78.9844	50.8756	0	0	20.115	-16000	0	23.882	 65
DATA	1712239414	908668994	133	256	""	2024-04-04	08:03:34	nan	nan	nan	79.0136	20.2681	78.9848	50.8756	0	0	20.1363	-16000	0	23.8824	173
DATA	1712239415	908668994	137	256	""	2024-04-04	08:03:35	nan	nan	nan	79.014	20.2915	78.9836	50.8758	0	0	20.1574	-16000	0	23.8816	130
DATA	1712239416	908668994	141	256	""	2024-04-04	08:03:36	nan	nan	nan	79.0136	20.3152	78.9856	50.8758	0	0	20.1772	-16000	0	23.8824	175
DATA	1712239417	908668994	145	256	""	2024-04-04	08:03:37	nan	nan	nan	79.0132	20.3399	78.9848	50.8751	0	0	20.1988	-16000	0	23.882	141
DATA	1712239418	908668994	149	256	""	2024-04-04	08:03:38	nan	nan	nan	79.0148	20.3645	78.9852	50.8756	0	0	20.2208	-16000	0	23.8828	190
DATA	1712239419	908370018	153	256	""	2024-04-04	08:03:39	nan	nan	nan	79.0148	20.3893	78.986	50.8753	0	0	20.2424	-16000	0	23.8824	113
DATA	1712239420	908370018	157	256	""	2024-04-04	08:03:40	nan	nan	nan	79.0148	20.4137	78.9856	50.8751	0	0	20.2642	-16000	0	23.8824	146
DATA	1712239421	908370018	161	256	""	2024-04-04	08:03:41	nan	nan	nan	79.0144	20.4379	78.9865	50.8756	0	0	20.2857	-16000	0	23.8824	160
DATA	1712239422	908370018	165	256	""	2024-04-04	08:03:42	nan	nan	nan	79.0157	20.4618	78.9865	50.8756	0	0	20.3075	-16000	0	23.8824	159
DATA	1712239423	908370018	169	256	""	2024-04-04	08:03:43	nan	nan	nan	79.014	20.4852	78.9856	50.8751	0	0	20.3291	-16000	0	23.8832	103
DATA	1712239424	908370018	173	256	""	2024-04-04	08:03:44	nan	nan	nan	79.0148	20.5078	78.9856	50.8751	0	0	20.3497	-16000	0	23.8816	167
DATA	1712239425	908370018	177	256	""	2024-04-04	08:03:45	nan	nan	nan	79.0157	20.5302	78.986	50.8753	0	0	20.3708	-16000	0	23.8808	108
DATA	1712239426	908071041	181	256	""	2024-04-04	08:03:46	nan	nan	nan	79.0148	20.5535	78.9865	50.8753	0	0	20.3934	-16000	0	23.8839	165
DATA	1712239427	908071041	185	256	""	2024-04-04	08:03:47	nan	nan	nan	79.0165	20.5772	78.9869	50.8755	0	0	20.4153	-16000	0	23.8859	175
DATA	1712239428	908071041	189	256	""	2024-04-04	08:03:48	nan	nan	nan	79.0165	20.5999	78.9873	50.8753	0	0	20.437	-16000	0	23.8859	138
DATA	1712239429	908071041	193	256	""	2024-04-04	08:03:49	nan	nan	nan	79.0157	20.6226	78.9877	50.8751	0	0	20.4589	-16000	0	23.8863	177
DATA	1712239430	908071041	197	256	""	2024-04-04	08:03:50	nan	nan	nan	79.0157	20.645	78.9873	50.8756	0	0	20.4806	-16000	0	23.8863	109
DATA	1712239431	908071041	201	256	""	2024-04-04	08:03:51	nan	nan	nan	79.0157	20.6668	78.9873	50.8755	0	0	20.5023	-16000	0	23.8859	152
DATA	1712239432	908071041	205	256	""	2024-04-04	08:03:52	nan	nan	nan	79.0153	20.6879	78.9873	50.8758	0	0	20.5234	-16000	0	23.8851	157
DATA	1712239433	908071041	209	256	""	2024-04-04	08:03:53	nan	nan	nan	79.0148	20.7088	78.986	50.8758	0	0	20.5442	-16000	0	23.8851	109
DATA	1712239434	907778024	213	256	""	2024-04-04	08:03:54	nan	nan	nan	79.0165	20.7306	78.9873	50.8755	0	0	20.5666	-16000	0	23.8847	174
DATA	1712239435	907778024	217	256	""	2024-04-04	08:03:55	nan	nan	nan	79.0177	20.7524	78.9885	50.8756	0	0	20.5888	-16000	0	23.8851	190
DATA	1712239436	907778024	221	256	""	2024-04-04	08:03:56	nan	nan	nan	79.0173	20.7742	78.9885	50.8755	0	0	20.6108	-16000	0	23.8851	170
DATA	1712239437	907778024	225	256	""	2024-04-04	08:03:57	nan	nan	nan	79.0173	20.7951	78.9893	50.8756	0	0	20.6325	-16000	0	23.8847	184
DATA	1712239438	907778024	229	256	""	2024-04-04	08:03:58	nan	nan	nan	79.0177	20.8165	78.9889	50.8756	0	0	20.6547	-16000	0	23.8847	203
DATA	1712239439	907778024	233	256	""	2024-04-04	08:03:59	nan	nan	nan	79.0185	20.8372	78.9897	50.8756	0	0	20.6763	-16000	0	23.8847	198
DATA	1712239440	907778024	237	256	""	2024-04-04	08:04:00	nan	nan	nan	79.0185	20.8575	78.9906	50.8755	0	0	20.6979	-16000	0	23.8855	184
DATA	1712239441	907471895	241	256	""	2024-04-04	08:04:01	nan	nan	nan	79.0177	20.8772	78.9897	50.8758	0	0	20.719	-16000	0	23.8863	136
DATA	1712239442	907471895	245	256	""	2024-04-04	08:04:02	nan	nan	nan	79.0198	20.8971	78.9902	50.8758	0	0	20.7399	-16000	0	23.8859	197
DATA	1712239443	907471895	249	256	""	2024-04-04	08:04:03	nan	nan	nan	79.0185	20.9171	78.9902	50.8756	0	0	20.7624	-16000	0	23.8863	176
DATA	1712239444	907471895	253	256	""	2024-04-04	08:04:04	nan	nan	nan	79.0181	20.9378	78.9893	50.8758	0	0	20.7844	-16000	0	23.8867	197
DATA	1712239445	907471895	257	256	""	2024-04-04	08:04:05	nan	nan	nan	79.0173	20.9581	78.9885	50.8756	0	0	20.8062	-16000	0	23.8859	193
DATA	1712239446	907471895	261	256	""	2024-04-04	08:04:06	nan	nan	nan	79.0165	20.9778	78.9881	50.8758	0	0	20.8279	-16000	0	23.8855	203
DATA	1712239447	907471895	265	256	""	2024-04-04	08:04:07	nan	nan	nan	79.0169	20.9978	78.9881	50.8756	0	0	20.8495	-16000	0	23.8863	212
DATA	1712239448	907471895	269	256	""	2024-04-04	08:04:08	nan	nan	nan	79.0169	21.0173	78.9873	50.8756	0	0	20.8711	-16000	0	23.8863	189
DATA	1712239449	907175064	273	256	""	2024-04-04	08:04:09	nan	nan	nan	79.0165	21.0358	78.9877	50.8758	0	0	20.892	-16000	0	23.8851	133
DATA	1712239450	907175064	277	256	""	2024-04-04	08:04:10	nan	nan	nan	79.0165	21.0545	78.9885	50.8756	0	0	20.913	-16000	0	23.8847	115
DATA	1712239451	907175064	281	256	""	2024-04-04	08:04:11	nan	nan	nan	79.0128	21.0739	78.9852	50.8758	0	0	20.9349	-16000	0	23.8855	171
DATA	1712239452	907175064	285	256	""	2024-04-04	08:04:12	nan	nan	nan	79.0177	21.0931	78.9902	50.8758	0	0	20.957	-16000	0	23.8855	119
