Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-05-23 11:00:00
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1716483600	395649909	4540	16	""	2024-05-23	11:00:00	5437.4146	454.59424	2111.3416	39.346	55.0003	26.9222	51.1432	0.0019798	11.0736	54.5005	107.5	0.26661	24.0931	196
DATA	1716483601	395297050	4544	16	""	2024-05-23	11:00:01	5432.0435	451.43753	2109.4556	39.346	55.0003	26.9239	51.1432	0.00203175	11.0743	54.5007	-37	0.26661	24.0934	131
DATA	1716483602	395297050	4548	16	""	2024-05-23	11:00:02	5422.4209	451.3616	2108.2046	39.346	55.0003	26.9243	51.1432	0.00202085	11.0755	54.5005	18.5	0.26661	24.0927	126
DATA	1716483603	395297050	4552	16	""	2024-05-23	11:00:03	5411.8882	452.19916	2108.2527	39.3464	55.0003	26.9234	51.1433	0.00200911	11.0735	54.5005	-144.5	0.26661	24.0927	 79
DATA	1716483604	395297050	4556	16	""	2024-05-23	11:00:04	5407.9092	449.34192	2108.5188	39.346	55.0003	26.923	51.1432	0.00202978	11.0747	54.5005	99.25	0.26661	24.0938	226
DATA	1716483605	395297050	4560	16	""	2024-05-23	11:00:05	5403.5234	450.44867	2108.437	39.3452	55.0003	26.9243	51.1432	0.00204126	11.072	54.5005	20	0.26661	24.0938	 25
DATA	1716483606	395297050	4564	16	""	2024-05-23	11:00:06	5404.0908	449.05576	2106.8291	39.3456	55.0003	26.9218	51.1432	0.00201585	11.072	54.5007	-76.5	0.26661	24.0934	254
DATA	1716483607	395297050	4568	16	""	2024-05-23	11:00:07	5396.2788	443.09769	2106.572	39.3468	55.0003	26.9218	51.1432	0.00204254	11.0739	54.5007	152	0.26661	24.0931	179
DATA	1716483608	395297050	4572	16	""	2024-05-23	11:00:08	5395.0532	447.78214	2106.1462	39.3452	55.0003	26.9251	51.1433	0.00199577	11.0712	54.5005	-58.5	0.26661	24.0927	 53
DATA	1716483609	394953012	4576	16	""	2024-05-23	11:00:09	5398.6304	446.54297	2106.188	39.346	55.0003	26.9234	51.1432	0.00201828	11.0717	54.5009	-111.75	0.26661	24.0927	 57
DATA	1716483610	394953012	4580	16	""	2024-05-23	11:00:10	5398.8574	448.84412	2107.3254	39.346	55.0003	26.9239	51.1432	0.00204057	11.0733	54.5009	26.25	0.26661	24.0931	245
DATA	1716483611	394953012	4584	16	""	2024-05-23	11:00:11	5394.5376	444.43042	2107.1763	39.346	55.0003	26.9226	51.1432	0.00202267	11.0757	54.5013	-171.25	0.26661	24.0934	 76
DATA	1716483612	394953012	4588	16	""	2024-05-23	11:00:12	5396.668	446.05389	2106.4895	39.346	55.0003	26.921	51.1432	0.00201976	11.0727	54.5009	-65.5	0.26661	24.0942	169
DATA	1716483613	394953012	4592	16	""	2024-05-23	11:00:13	5396.9268	450.06885	2106.2019	39.346	55.0003	26.9193	51.1432	0.00201703	11.0736	54.5007	6.5	0.26661	24.0931	146
DATA	1716483614	394953012	4596	16	""	2024-05-23	11:00:14	5400.0713	449.95544	2105.291	39.3468	55.0003	26.921	51.1432	0.00201265	11.0725	54.5005	-16.25	0.26661	24.0931	224
DATA	1716483615	394953012	4600	16	""	2024-05-23	11:00:15	5402.8911	446.18182	2106.5376	39.3456	55.0003	26.9185	51.1432	0.0020326	11.0733	54.5005	-54.5	0.26661	24.0927	231
DATA	1716483616	394603013	4604	16	""	2024-05-23	11:00:16	5403.0532	447.2236	2106.0508	39.3468	55.0003	26.9164	51.1432	0.00202812	11.0746	54.5005	-86.5	0.26661	24.0938	221
DATA	1716483617	394603013	4608	16	""	2024-05-23	11:00:17	5402.4893	445.99765	2105.6868	39.3452	55.0003	26.916	51.1432	0.00201377	11.0738	54.5005	87.5	0.26661	24.0934	222
DATA	1716483618	394603013	4612	16	""	2024-05-23	11:00:18	5403.519	446.09586	2105.2642	39.346	55.0003	26.9201	51.1432	0.00200238	11.0718	54.5005	-49.25	0.26661	24.0927	225
DATA	1716483619	394603013	4616	16	""	2024-05-23	11:00:19	5409.7676	447.70816	2104.98	39.3456	55.0003	26.9173	51.1433	0.00198925	11.0733	54.5005	26.25	0.26661	24.0927	225
DATA	1716483620	394603013	4620	16	""	2024-05-23	11:00:20	5414.4717	446.7764	2105.6877	39.3452	55.0003	26.9177	51.1432	0.00202198	11.0732	54.5005	-41.5	0.26661	24.0934	230
DATA	1716483621	394603013	4624	16	""	2024-05-23	11:00:21	5413.1006	444.37335	2104.7524	39.3456	55.0003	26.916	51.1432	0.00200139	11.0731	54.5005	-20.5	0.26661	24.0934	192
DATA	1716483622	394603013	4628	16	""	2024-05-23	11:00:22	5409.6646	447.47769	2104.2144	39.3464	55.0003	26.9152	51.1432	0.00202945	11.0725	54.5005	-75.75	0.26661	24.0931	 90
DATA	1716483623	394603013	4632	16	""	2024-05-23	11:00:23	5399.5039	449.19949	2103.363	39.346	55.0003	26.9144	51.1432	0.00199103	11.0738	54.5005	23.5	0.26661	24.0934	149
DATA	1716483624	394262075	4636	16	""	2024-05-23	11:00:24	5400.0928	446.47122	2104.2078	39.3456	55.0003	26.9169	51.1432	0.0020146	11.0743	54.5005	98.5	0.26661	24.0927	196
