T,C,CT,,,,
5/23/2024 11:04:00,405.59286,399.8,,,,
5/23/2024 11:04:01,406.08545,399.8,,,,
5/23/2024 11:04:02,405.93616,399.8,,,,
5/23/2024 11:04:03,400.35956,399.8,,,,
5/23/2024 11:04:04,399.19992,399.8,,,,
5/23/2024 11:04:05,402.40756,399.8,,,,
5/23/2024 11:04:06,400.12067,399.8,,,,
5/23/2024 11:04:07,397.82578,399.8,,,,
5/23/2024 11:04:08,401.69995,399.8,,,,
5/23/2024 11:04:09,400.3577,399.8,,,,
5/23/2024 11:04:10,401.99301,399.8,,,,
5/23/2024 11:04:11,403.77026,399.8,,,,
5/23/2024 11:04:12,402.93033,399.8,,,,
5/23/2024 11:04:13,398.89209,399.8,,,,
5/23/2024 11:04:14,399.01547,399.8,,,,
5/23/2024 11:04:15,401.20117,399.8,,,,
5/23/2024 11:04:16,400.28088,399.8,,,,
5/23/2024 11:04:17,406.0603,399.8,,,,
5/23/2024 11:04:18,398.9306,399.8,,,,
5/23/2024 11:04:19,403.26602,399.8,,,,
5/23/2024 11:04:20,401.5029,399.8,,,,
5/23/2024 11:04:21,409.21048,399.8,,,,
5/23/2024 11:04:22,409.51581,399.8,,,,
5/23/2024 11:04:23,405.32382,399.8,,,,
5/23/2024 11:04:24,407.13583,399.8,,,,
5/23/2024 11:04:25,404.19617,399.8,,,,
5/23/2024 11:04:26,404.56039,399.8,,,,
5/23/2024 11:04:27,410.90479,399.8,,,,
5/23/2024 11:04:28,406.8985,399.8,,,,
5/23/2024 11:04:29,405.23026,399.8,,,,
5/23/2024 11:04:30,399.56763,399.8,,,,
5/23/2024 11:04:31,404.25854,399.8,,,,
5/23/2024 11:04:32,404.65189,399.8,,,,
5/23/2024 11:04:33,407.98343,399.8,,,,
5/23/2024 11:04:34,402.17191,399.8,,,,
5/23/2024 11:04:35,406.25314,399.8,,,,
5/23/2024 11:04:36,408.79138,399.8,,,,
5/23/2024 11:04:37,409.92468,399.8,,,,
5/23/2024 11:04:38,409.54312,399.8,,,,
5/23/2024 11:04:39,408.51694,399.8,,,,
5/23/2024 11:04:40,406.85815,399.8,,,,
5/23/2024 11:04:41,407.78998,399.8,,,,
5/23/2024 11:04:42,409.49753,399.8,,,,
5/23/2024 11:04:43,407.13229,399.8,,,,
5/23/2024 11:04:44,405.83011,399.8,,,,
5/23/2024 11:04:45,406.54883,399.8,,,,
5/23/2024 11:04:46,406.14728,399.8,,,,
5/23/2024 11:04:47,407.42584,399.8,,,,
